"Title","ID","Created Date","Updated Date","Owner","Name","Address","Suite","Telephone","Website","Hours","Email","Image Url","Latitude","Longitude","Category","Referring Zips","Contact Preference","Calendar URL"
,"00e62d82-523f-440c-89d7-00d5cc5c7d10",2025-06-17T21:18:17Z,2025-10-02T17:00:13Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection - Indianapolis(Bridge Ext)","13000 Olio Rd, Fishers, Indiana, 46037",,"574-735-0000",,"Hours vary based on appointment",,"https://static.wixstatic.com/media/501c71_d1027c50219f4804a119d61d34e3e959~mv2.jpg",39.97894671,"'-85.91890604","Mid-West",,"Please Call",
,"0b20b974-cbc2-4bdd-bf16-de3519369cf3",2025-06-17T21:18:17Z,2025-11-17T19:31:30Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection at Kentwood Community Church","1200 60th St SE, Grand Rapids, Michigan, 49508",,"616-455-1740","https://kentwoodcommunitychurch.com/immigrant-connection","Mon, Tue, Thur:  10am - 5pm
Wed: 10am - 8pm","ic@kcconline.org","https://static.wixstatic.com/media/501c71_1cc7b072db9c45eead0c3d9741ee4d4d~mv2.jpg",42.85267801,"'-85.63365101",,"480|481|482|483|484|485|486|487|488|48829|489|490|491|492|49301|49302|49303|49304|49305|49306|49307|49309|49310|49312|49315|49316|49318|49319|49321|49322|49323|49325|49326|49327|49328|49329|49330|49331|49332|49333|49336|49337|49338|49339|49340|49341|49342|49343|49344|49345|49346|49347|49348|49349|494|49435|495|49503|49504|49505|49506|49507|49525|49534|49544|496|497","Please Call","https://immigrantconnectionatkentwoodcommunitychurch.as.me/EGA?field:17398940=generalLookup"
,"0c23d234-7e15-4e0b-a563-a03807b168c0",2025-09-15T18:43:17Z,2025-11-19T03:14:47Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection at Clearwater","1875 Nursery Rd, Clearwater, FL 33764",,"727-536-1498","https://icclearwater.org/",,,"wix:image://v1/502226_3419ceaddafc4b43b3b9f0766b6cde24~mv2.jpeg/a-place-of-hope-background.jpeg#originWidth=1500&originHeight=813",27.9419203,"'-82.7624048","Southern US","320|321|322|323|324|325|326|327|328|329|330|331|333|334|335|336|337|338|339|341|342|344|346|347|349","Please Call","https://immigrantconnectionatclearwaterfirstchurchofthenazarene.as.me/ega?field:17398921=generalLookup"
,"1eecf79f-bb02-45a3-8baf-e58d030f0d3e",2025-06-17T21:18:17Z,2025-11-18T15:48:55Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection-Greenville Multicultural ","103 S Texas Ave, Greenville, South Carolina, 29611",,"864-295-0945","https://greenvillemulticultural.com/ic/","Monday - 10 am - 5 pm
Tuesday - 10 am - 5 pm
Wednesday - 12 pm - 7 pm
Thursday - 10 am - 5 pm
Friday - 10 am - 5 pm",,"https://static.wixstatic.com/media/0b8f18_8ae7d64686fa42e2aca330129f8ec832~mv2.png",34.83403801,"'-82.43825402","Southern US","287|28704|28713|28715|28716|28722|28730|28732|28742|28751|28759|28779|28782|28786|28789|28792|289|290|29001|29003|29006|29009|29010|29014|29015|29016|29018|29020|29030|29031|29032|29033|29036|29037|29038|29039|29040|29042|29044|29045|29046|29047|29048|29051|29052|29053|29054|29055|29056|29058|29059|29061|29062|29063|29065|29067|29069|29070|29072|29073|29074|29075|29078|29080|29082|291|29101|29102|29104|29107|29108|29111|29112|29113|29114|29115|29118|29123|29125|29126|29127|29128|29130|29133|29137|29142|29145|29146|29148|29150|29152|29153|29154|29160|29161|29162|29163|29164|29168|29169|29170|29172|29175|29178|29180|292|29201|29203|29204|29205|29206|29207|29209|29210|29212|29223|29229|293|29325|29332|29341|29351|29355|29356|29360|29370|29379|29384|294|29401|29403|29404|29405|29406|29407|29410|29412|29414|29418|29420|29426|29429|29431|29432|29434|29435|29436|29437|29438|29440|29445|29446|29448|29449|29450|29451|29452|29453|29455|29456|29458|29461|29464|29466|29468|29469|29470|29471|29472|29474|29475|29477|29479|29481|29482|29483|29485|29487|29488|29492|295|296|29605|29607|29609|29611|29615|29617|29620|29621|29624|29625|29626|29627|29628|29630|29631|29635|29638|29639|29640|29642|29643|29644|29645|29646|29649|29650|29651|29653|29654|29655|29657|29658|29661|29664|29666|29669|29670|29671|29672|29673|29676|29678|29681|29682|29684|29685|29686|29687|29689|29690|29691|29692|29693|29696|29697|297|298|29803|29805|29809|29810|29812|29817|29827|29836|29843|29849|29853|29856|299|29905|29907|29909|29910|29911|29915|29916|29918|29920|29921|29922|29923|29924|29926|29928|29929|29932|29934|29935|29939|29940|29941|29943|30004|30024|30028|30040|30041|30107|30115|30148|30426|30456|30467|305|306|30643|308|30805|30822|30830|309","Please Text","https://immigrantconnectiongreenvillemulticulturalchurch.as.me/EGA?field:17398928=generalLookup"
,"25d65036-9c42-4616-a5fb-8a30d234c0f5",2025-06-17T21:18:17Z,2025-11-18T18:14:17Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection, Inc.","15320 S Ridgeview Rd, Olathe, Kansas, 66062",,"913-210-1776","http://immigrantconnectioninc.org/","Monday - 9 am - 5 pm
Tuesday - 9 am - 5 pm
Wednesday - 9 am - 5 pm
Thursday - 9 am - 5 pm
Friday - 9 am - 5 pm",,"https://static.wixstatic.com/media/0b8f18_a2b5e6086fe6440db692dcc1f3da42e2~mv2.png",38.85043499,"'-94.79796101","Southern US","635|640|641|644|645|646|647|653|660|661|662|664|665|666|667|668|669|670|671|672|673|674|675|676|677|678|679|683|684|685|688|689|690|691|693","Please Call","https://immigrantconnectioninc.as.me/ega?field:17399042=generalLookup"
,"25f15a5e-0d51-449b-9059-b753b99599e0",2025-06-17T21:18:17Z,2025-10-15T20:02:49Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection - Blue Ridge","3706 Peters Creek Rd, Roanoke, Virginia, 24019",,"540-581-2963","https://immigrantconnectionblueridge.com","By Appointment Only",,"https://static.wixstatic.com/media/0b8f18_cf481c83adb9476cbb3ccc7ae1f2d75e~mv2.jpg",37.32486102,"'-79.99440202","Southern US","229|238|239|240|241|243|244|245|246|247|248|249|250|251|252|253|255|256|257|258|259|260|261|262|263|264|265|266|457","Please Call","https://immigrantconnectionblueridge.as.me/ega?field:17362254=generalLookup"
,"26f8b01c-5ed1-49b2-a4eb-ad63d1816c76",2025-06-17T21:18:17Z,2025-11-19T03:14:38Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection at Awaken City","184 Hyde Park Ave, Jamaica Plain, Massachusetts, 02130",,"617- 535-3139","https://awakenboston.org/immigrant","Tuesdays 5:30pm - 8:30pm

Wednesday 8am - 4pm","Info@awakenboston.org","https://static.wixstatic.com/media/e5a4e2_c1338490638e4c2995c1a07365017224~mv2.png",42.29473305,"'-71.11685229","North-East","010|011|012|013|014|015|016|017|018|019|020|021|023|024|025|026|027|028|029|039|040|041|042|043|044|045|046|047|048|049|060|061|062|063|064|065|066|067|068|069|070|071|072|073|074|075|076|077|078|079|080|081|082|083|085|086|087|088|100|103|104|105|106|107|108|109|110|111|112|113|114|115|117|118|119|120|121|122|123|124|125|126|127|128|129|130|131|132|133|134|135|136|137|138|139|140|141|142|143|144|145|146|147|148|149|165|180|181|182|183|184|185|186|187|188|189|190|191|194","Please Call","https://icacboston.as.me/ega?field:17465243=generalLookup"
,"27a1eeda-9e5a-479c-9e4f-c770a4062b86",2025-06-17T21:18:17Z,2025-11-17T19:37:34Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection @ The Bridge Community Church","301 E Linden Ave, Logansport, Indiana, 46947",,"574-735-0000","http://www.thebridgelogansport.com/immigration","Monday - 10 am - 5 pm
Tuesday - 10 am - 5 pm
Wednesday - 12 pm - 7 pm
Thursday - 10 am - 5 pm
Friday - 10 am - 5 pm
​",,"https://static.wixstatic.com/media/0b8f18_f7deb17ced2e42e394e7b768a3b52e9e~mv2.jpeg",40.75818,"'-86.36510198","Mid-West","460|46076|461|462|463|464|465|467|468|469|46901|46902|46910|46911|46914|46926|46936|46951|46962|46970|46974|46982|46990|46992|472|473|474|478|479|600|601|604|605|606|609|610|613","Please Call","https://immigrantconnection.as.me/ega?field:17362172=generalLookup"
,"2ad27293-d9ec-468e-8f6f-bb69fa1f8885",2025-06-17T21:18:17Z,2025-11-17T19:37:21Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection - Dayton","Dayton, Ohio","Suite 1","937-802-2012","http://www.icdayton.org","Tuesday and Wednesday, 9-4",,"https://static.wixstatic.com/media/501c71_b688657ade7047d3a171f87bf3bbaf3b~mv2.jpg",39.760982,"'-84.192203",,"410|411|430|431|432|433|434|435|436|437|438|439|440|441|442|443|444|445|446|447|448|449|450|451|452|453|454|455|456|458|470","Please Text","https://immigrantconnectiondayton.as.me/ega?field:17362136=generalLookup"
,"2b32b7c8-119c-476a-ae72-9e0f681f3cb0",2025-06-17T21:18:17Z,2025-11-17T19:30:58Z,"502226b4-110a-4861-ad7e-941df81678ff","Immigrant Connection at Hart Wesleyan Church","3757 W Polk Rd, Hart, Michigan, 49420",,"231-873-0832","https://hartwesleyanchurch.org/index.html","Tuesday - 10am - 4pm (Evenings by appointment only)​
Wednesday - 10am - 4pm (Evenings by appointment only)",,"https://static.wixstatic.com/media/e5a4e2_38eb5ed9bd9b40c4808affeaade9300f~mv2.jpg",43.68791898,"'-86.37186702","Mid-West",,"Please Call",
